?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/AISM_0002057>	"The cranio-labial muscle that is attached to the prementum and the labial palpus."@en	
<http://purl.obolibrary.org/obo/HAO_0002542>	"The cuticular invagination at the distal end of the genuflexor sclerite that is adjacent to (articulates with) the outerwall of the tibia."	
<http://purl.obolibrary.org/obo/HAO_0000134>	"The apodeme that is located medially on the proximoventral margin of the gonostipes and is the site of origin of the ventral gonostyle/volsella complex-penisvalval muscles."	
<http://purl.obolibrary.org/obo/HAO_0000202>	"The ridge that extends along the margin of the compound eye and corresponds to the ocular suture."	
<http://purl.obolibrary.org/obo/HAO_0001336>	"The posterior femoro-tibial articulation that is composed of the posterior tibial condyle and fossa of the profemur and the posterior femoral condyle and fossa of the protibia."	
<http://purl.obolibrary.org/obo/HAO_0002451>	"The flagellomere that is located immediately distal to the twelfth flagellomere."	
<http://purl.obolibrary.org/obo/HAO_0001069>	"The carina that separates the metasomal depression from the metacoxal depression."	
<http://purl.obolibrary.org/obo/HAO_0002464>	"The proximodistal anatomical line of the 1st flagellomere."	
<http://purl.obolibrary.org/obo/HAO_0000504>	"The sulcus that extends between the ventral margin of the compound eye and the base of the mandible."	
<http://purl.obolibrary.org/obo/HAO_0002115>	"The muscle that arises from the first sclerite of the maxillary palp and inserts on the third sclerite of the maxillary palp."	
<http://purl.obolibrary.org/obo/BSPO_0000084>	"Anatomical region ventrally located on the body or body part."	"FBql:00005843"
<http://purl.obolibrary.org/obo/HAO_0000595>		
<http://purl.obolibrary.org/obo/AISM_0000323>	"The conjunctiva that is part of the mesotarsus, is encircled by mesotarsomere 1 and encircles mesotarsomere 2."@en	
<http://purl.obolibrary.org/obo/HAO_0002190>	"The area that extends along the dorsal margin of the second valvula, bears the processus articularis anteriorly and the processus musculares on the antero-dorsal region and articulates anteriorly with the second valvifer via the basal articulation."	
<http://purl.obolibrary.org/obo/HAO_0001783>	"The tergite that is located medially on the tergum."	
<http://purl.obolibrary.org/obo/HAO_0001198>	"The unguitractor plate that is located in the mesotarsus."	
<http://purl.obolibrary.org/obo/HAO_0000683>	"The appendage that is composed of the palpal segments."	
<http://purl.obolibrary.org/obo/HAO_0000509>	"The gland that opens mesally at the base of the mandible."	
<http://purl.obolibrary.org/obo/HAO_0001339>	"The process that is located posteriorly on the proximal margin of the metabasitarsus and corresponds to the site of insertion of the posterior metatibio-metabasitarsal muscle."	
<http://purl.obolibrary.org/obo/HAO_0002316>	"The anatomical line that is perpendicular to the median anatomical line and is the tangent at the distalmost point(s) of the clypeus in frontal view."	
<http://purl.obolibrary.org/obo/HAO_0001283>	"The tergal muscle that inserts on female T9."	
<http://purl.obolibrary.org/obo/HAO_0000607>	"The pleural apodeme that is connected with the metafurca."	
<http://purl.obolibrary.org/obo/HAO_0000769>	"The spiracle that is located dorsally on the border between the mesopectus and the metapectus."	
<http://purl.obolibrary.org/obo/HAO_0002039>	"The apodeme that is median and is oriented proximally."	
<http://purl.obolibrary.org/obo/HAO_0001240>	"The articulation that is composed of the femoral condyle of the protrochanter and the trochanteral fossa of the profemur."	
<http://purl.obolibrary.org/obo/HAO_0000759>	"The anatomical line that is the shortest between the margin of the lateral ocelli."	
<http://purl.obolibrary.org/obo/AISM_0002025>	"The cranio-mandibular muscle that extends between the anterior tentorial arm and the dorso-medial region of the insect mandible."@en	
<http://purl.obolibrary.org/obo/HAO_0002390>	"The flange that is submedial and is on the occipital carina."	
<http://purl.obolibrary.org/obo/HAO_0000510>	"The line that delimits the periphery of an area."	
<http://purl.obolibrary.org/obo/HAO_0000143>	"The apodeme that is tubercle-like or spine-like."	
<http://purl.obolibrary.org/obo/HAO_0000744>	"The usual sixth vein of the wing, associated basally with the cubitus."	
<http://purl.obolibrary.org/obo/HAO_0001945>	"The setiferous patch that is extending along the third metasomal tergum."	
<http://purl.obolibrary.org/obo/HAO_0000212>	"The area that corresponds to the site of origin of the clypeo-epipharyngeal muscle."	
<http://purl.obolibrary.org/obo/HAO_0002449>	"The anatomical line that extends between the anterior and posterior margins of an anatomical structure."	
<http://purl.obolibrary.org/obo/HAO_0001222>	"The anatomical cluster that is composed by transverse rows of setae on the median (posterior, inner) surface of the metabasitarsus."	
<http://purl.obolibrary.org/obo/HAO_0001202>	"The fossa thet is located laterally on the proximal margin of the mesofemur."	
<http://purl.obolibrary.org/obo/HAO_0001660>	"The maxillar muscle that arises along the lateral margin of the posterior stipital sclerite and inserts proximally on the median wall of the stipes just proximal to the lacinal lobe."	
<http://purl.obolibrary.org/obo/HAO_0002163>	"The sclerite of the first valvifer that is located dorsally of the transvalviferal conjunctiva."	
<http://purl.obolibrary.org/obo/HAO_0000851>	"The propleural muscle that arises medially from the pronotum and inserts on the posterodorsal margin of the propleuron."	
<http://purl.obolibrary.org/obo/HAO_0001866>	"The sclerite that is part of the palp."	
<http://purl.obolibrary.org/obo/HAO_0000490>	"The procoxal muscle that arises from the cervical apodeme and inserts on the procoxa on the opposite side from which it arises."	
<http://purl.obolibrary.org/obo/AISM_0004139>	"The part of the sternum that is attached to the posterior margin of the furcasternum and to the anterior margin of the poststernite."@en	
<http://purl.obolibrary.org/obo/AISM_0002003>	"The cranio-antennal muscle that is attached to the dorsal or anterior tentorial arm and the proximo-dorsal margin of the scapus."@en	
<http://purl.obolibrary.org/obo/HAO_0000618>	"The metasubalare muscle that arises from the metapleuron and inserts on the metasubalare."	
<http://purl.obolibrary.org/obo/HAO_0001229>		
<http://purl.obolibrary.org/obo/HAO_0000713>	"The region of the male genitalia that is composed of the cupulae, gonostipites and volsellae."	
<http://purl.obolibrary.org/obo/AISM_0004096>	"The conjunctiva of the insect abdomen that connects the abdominal tergite VI and the abdominal tergite VII."@en	
<http://purl.obolibrary.org/obo/BSPO_0000678>	"Anatomical margin that is located on the distal side of the body or body part."	
<http://purl.obolibrary.org/obo/HAO_0002338>	"The anatomical line between the distal ends of the anterodorsal spines of the petiolar node."	
<http://purl.obolibrary.org/obo/HAO_0001810>	"The rim that surrounds the occipital foramen."	
<http://purl.obolibrary.org/obo/HAO_0002015>	"The apical tooth of the mandible that is located the most distal to the clypeus."	
<http://purl.obolibrary.org/obo/AISM_0004275>	"The sclerite that is continuous with the hypopharynx."@en	
<http://purl.obolibrary.org/obo/HAO_0000726>	"The fossa that is located on the dorsal margin of the pleuron and accommodates the second axillary sclerite."	
<http://purl.obolibrary.org/obo/AISM_0004082>	"The conjunctiva between the insect thorax and the insect abdomen that connects the posterior margin of the metanotum to the anterior margin of the abdominal tergite I."@en	
<http://purl.obolibrary.org/obo/HAO_0002172>	"The projection that is located on the second valvifer and corresponds to the proximal end of the rachis."	
<http://purl.obolibrary.org/obo/HAO_0001959>	"The setal pit that is located at the posterior margin of abdominal tergum 8."	
<http://purl.obolibrary.org/obo/HAO_0001531>	"The abdominal sternum that is located on abdominal segment 8."	
<http://purl.obolibrary.org/obo/HAO_0001579>	"The region that extends along the dorsal margin of the first valvula and bears the aulax."	
<http://purl.obolibrary.org/obo/HAO_0001259>	"The monocondylic joint that is composed of the mesotrochanter, the mesofemur and the articular membrane of the mesotrochantero-mesofemoral joint."	
<http://purl.obolibrary.org/obo/AISM_0004282>	"The thoracic foramen that is at the anterior margin of the cuticle of the metathorax."@en	
<http://purl.obolibrary.org/obo/AISM_0000021>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the tergum by the metanoto-abdominal tergite I conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0001030>	"The epipharyngeal muscle that extends between the lateral parts of the sitophore."	
<http://purl.obolibrary.org/obo/UBERON_6007289>	"Region of integument of a tagma.\nhttp://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00007289"@en	
<http://purl.obolibrary.org/obo/HAO_0000678>	"The anatomical space that receives sperm ejected from the aedeagus."	
<http://purl.obolibrary.org/obo/HAO_0000316>	"The area that extends from the median ocellus to the oral foramen."	
<http://purl.obolibrary.org/obo/HAO_0001324>	"The carina that corresponds to the transepisternal line."	
<http://purl.obolibrary.org/obo/HAO_0001887>	"The carina that extends from the lateral metacoxal articulation and is continuous with the anterior margin of the speculum."	
<http://purl.obolibrary.org/obo/HAO_0000792>	"The area posterior to the imaginary line intersecting the lateral ocelli and anterior to the occipital carina."	
<http://purl.obolibrary.org/obo/HAO_0001038>	"Sensilla trichodea type I occur on the distal ends [...] of the antennal flagellum.  They have small conical basal sockets with slender and strongly bent shafts."	
<http://purl.obolibrary.org/obo/HAO_0001219>	"The projection that is located on the distal half of the tarsal claw and proximal to the apex."	
<http://purl.obolibrary.org/obo/AISM_0000103>	"The conjunctiva that encircles the mesocoxa and connects it to the ventral and lateral regions of the mesothorax."@en	
<http://purl.obolibrary.org/obo/AISM_0000433>	"The metatibial carina that is located in the postero-dorsal region of the metatibia."@en	
<http://purl.obolibrary.org/obo/HAO_0001301>	"The mesotrochanteral muscle that arises posteriorly from the mesocoxa and inserts posteriorly on the mesotrochanter laterally of the posterior mesocoxo-mesotrochanteral articulation."	
<http://purl.obolibrary.org/obo/HAO_0002213>	"The invagination on the distal hypopharynx that id adjacent to the concavities of the hypopharyngeal rods."	
<http://purl.obolibrary.org/obo/HAO_0001756>	"The area that is located between the genal carina and the posterior margin of the compound eye, bounded ventrally by the malar sulcus and dorsally by the vertex."	
<http://purl.obolibrary.org/obo/HAO_0000577>	"The metafurcal muscle that arises from the mesospinasternum and inserts on the metafurca."	
<http://purl.obolibrary.org/obo/HAO_0002321>	"The area of the scape that faces the cranium surface when the scape is in fully flexed position."	
<http://purl.obolibrary.org/obo/HAO_0000029>		
<http://purl.obolibrary.org/obo/HAO_0002222>	"The muscle that arises from the third sclerite of the maxillary palp and inserts on the fourth sclerite of the maxillary palp."	
<http://purl.obolibrary.org/obo/HAO_0000454>	"The epipharyngeal muscle that arises from the proximal part of the labrum and inserts on the distal epipharyngeal wall."	
<http://purl.obolibrary.org/obo/HAO_0000171>	"The sclerite that is located on the dorsal margin of the pectus of pterothoracic segment anteriorly of the pleural wing articulation."	
<http://purl.obolibrary.org/obo/HAO_0001537>		
<http://purl.obolibrary.org/obo/HAO_0000799>	"The notch that is located on the margin of the second valvifer immediately anterior to the basal articulation of the second valvulae."	
<http://purl.obolibrary.org/obo/UBERON_0000991>		
<http://purl.obolibrary.org/obo/HAO_0000617>	"The metanotal muscle that arises from the metapleuron and inserts on the metanotum."	
<http://purl.obolibrary.org/obo/HAO_0002333>	"The anatomical line that is between the distal clypeal line and the proximalmost point of the distal clypeal notch in frontal view."	
<http://purl.obolibrary.org/obo/HAO_0002515>	"The conjunctiva that separates the left and the right cardines."	
<http://purl.obolibrary.org/obo/HAO_0000813>	"The ridge that seperates the prescutum from scutum."	
<http://purl.obolibrary.org/obo/HAO_0001154>	"The anatomical space that is surrounded by the posterior margin of abdominal sternum 7."	
<http://purl.obolibrary.org/obo/HAO_0002358>	"The contour line of the postocular area in frontal view."	
<http://purl.obolibrary.org/obo/AISM_0002026>	"The somatic muscle that is attached to the head capsule and the insect maxilla."@en	
<http://purl.obolibrary.org/obo/PATO_0002326>		
<http://purl.obolibrary.org/obo/AISM_0004287>	"The insect body segment that is part of the insect abdomen."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000021"
<http://purl.obolibrary.org/obo/HAO_0000953>	"The line that marks the site of origin of the mesopleuro-basalare and first mesopleuro-mesonotal muscle."	
<http://purl.obolibrary.org/obo/HAO_0001855>	"The sclerite that is paired, is located distal to the manubrium and is connected laterally with the arcus."	
<http://purl.obolibrary.org/obo/HAO_0000641>		
<http://purl.obolibrary.org/obo/HAO_0000311>	"The procuticle that is tanned (sclerotised, proteins are highly crosslinked) and located between the endocuticle and epicuticle."	
<http://purl.obolibrary.org/obo/HAO_0001497>	"The articular process that is located anteriorly on the distal margin of the metacoxa and bears the anterior trochanteral condyle of the metacoxa."	
<http://purl.obolibrary.org/obo/HAO_0001984>	"The setae that are paired and are located laterally on the ventral rim of clypeus."	
<http://purl.obolibrary.org/obo/HAO_0001463>	"The mediotergite that is located on abdominal tergum 1."	
<http://purl.obolibrary.org/obo/HAO_0002549>	"The posterior, concave area on the ventral side of the cuticle surface of abdominal tergite 6 corresponds to the acroteral calyx on abdominal tergite 7 when the abdomen is in a retracted position."	
<http://purl.obolibrary.org/obo/AISM_0004256>	"The insect wing vein that is posterior to the subcosta and anterior to the media."@en	
<http://purl.obolibrary.org/obo/HAO_0000428>	"The ridge that corresponds to the metascutellar arm."	
<http://purl.obolibrary.org/obo/HAO_0002252>	"The tooth tooth that is located on the posterior surface of the lower tooth."	
<http://purl.obolibrary.org/obo/HAO_0000904>	"The carina that is irregularly non-linear."	
<http://purl.obolibrary.org/obo/AISM_0004270>	"The region of the cuticle that is proximal and medial on the cuticle of the insect mandible."@en	
<http://purl.obolibrary.org/obo/BSPO_0000671>	"Anatomical margin that is located on the anterior side of a body or body part."	
<http://purl.obolibrary.org/obo/HAO_0002340>	"The median anatomical line of the cranium that is the longest between the dorsal margin of the cranium and the dorsal head width."	
<http://purl.obolibrary.org/obo/HAO_0001312>	"The flexor of the pretarsal claws of the fore leg muscle that arises from the profemur."	
<http://purl.obolibrary.org/obo/AISM_0000196>	"The cuticular pit that correspods to the tentorium."@en	
<http://purl.obolibrary.org/obo/HAO_0000183>	"The segment that is the part of the body."	
<http://purl.obolibrary.org/obo/HAO_0001210>	"The condyle that is located on the tibial articular process of the mesobasitarsus."	
<http://purl.obolibrary.org/obo/HAO_0000591>	"The discrimenal lamella that is located in the metathorax."	
<http://purl.obolibrary.org/obo/HAO_0000017>	"The abdominal segment that is located between the metathorax and abdominal segment 2."	
<http://purl.obolibrary.org/obo/AISM_0000523>	"Dorsal part of postabdomen."@en	
<http://purl.obolibrary.org/obo/UBERON_0000990>		
<http://purl.obolibrary.org/obo/HAO_0001179>	"The projection that is located along the medial margin of the parossiculus."	
<http://purl.obolibrary.org/obo/HAO_0001595>	"The setiferous patch that extends posteriorly or posterolaterally of the median ocellus."	
<http://purl.obolibrary.org/obo/HAO_0000090>	"The thorax that is part of the adult."	
<http://purl.obolibrary.org/obo/AISM_0000022>	"The axillary sclerite that is part of the dorsal region of the basal wing conjunctiva and is anterior to the third axillary sclerite."@en	
<http://purl.obolibrary.org/obo/HAO_0002101>	"The condyle that articulates with the stipital fossa of the cardo."	
<http://purl.obolibrary.org/obo/HAO_0001643>	"The mesolaterophragmal muscle that arises from the mesonotum."	
<http://purl.obolibrary.org/obo/HAO_0002586>	"The duct that is the proximal-most region of the female genital duct, is continuous with the common oviduct and is separated from it by the gonopore."	
<http://purl.obolibrary.org/obo/HAO_0001032>	"The sulcus that corresponds to the anteromedian pronotal ridge."	
<http://purl.obolibrary.org/obo/HAO_0001762>	"The area that is located medially on the transverse pronotal sulcus and separates the pronotal plate from the anterior rim of pronotum."	
<http://purl.obolibrary.org/obo/HAO_0002286>	"The carina that extends along the posterior border of the pronotal plate."	
<http://purl.obolibrary.org/obo/HAO_0001511>	"The articular process that is located laterally on the distal margin of the mesotrochanter and bears the femoral condyle of the mesotrochanter."	
<http://purl.obolibrary.org/obo/AISM_0000167>	"The region of cuticle where two sclerites meet."@en	
<http://purl.obolibrary.org/obo/HAO_0001483>	"The spiracular muscle that arises from the lateral spiracular apodeme of the abdominal sternum 6 and inserts on the 6th abdominal spiracle."	
<http://purl.obolibrary.org/obo/AISM_0004196>	"The cuticle of the appendage of the hind leg that is attached to the metatarsus by the metatarso-metapretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0001735>	"The area that is located anteriorly on the second metasomal sternum and overlaps ventrally the petiole."	
<http://purl.obolibrary.org/obo/HAO_0000318>	"The line that extends along the border of the eye and lower face."	
<http://purl.obolibrary.org/obo/HAO_0002437>	"The area that is posterior to the anatomical line connecting the left and right labial palpal excisions."	
<http://purl.obolibrary.org/obo/HAO_0000562>	"The area that is limited dorsally by the subalar ridge, posteroventrally by the speculum and ends posteriorly in the subalar pit."	
<http://purl.obolibrary.org/obo/HAO_0001019>	"The projection that is located distally on the mandible."	
<http://purl.obolibrary.org/obo/HAO_0002214>	"The anterolateral area of the distal hypopharynx that is adjacent with the proximal part of the hypopharyngeal rod proximal to the hypopharyngeal button and is covered with acanthae."	
<http://purl.obolibrary.org/obo/HAO_0001780>	"The area that connects posterodorsally the second valvifers and is the site of attachment for the posterior T9-second valvifer muscle."	
<http://purl.obolibrary.org/obo/AISM_0004055>	"The region of cuticle of the insect abdomen that is posteriorly connected to the postabdomen."@en	
<http://purl.obolibrary.org/obo/HAO_0001426>	"The tergum that is located in the abdomen."	
<http://purl.obolibrary.org/obo/CL_0000150>	"A specialized epithelial cell that is capable of synthesizing and secreting certain biomolecules."	"CALOHA:TS-2085 FMA:86494"
<http://purl.obolibrary.org/obo/HAO_0001192>	"The intrinsic leg muscle that arises ventrally from the protibia and inserts ventrally on the articular membrane of the protibio-probasitarsal joint."	
<http://purl.obolibrary.org/obo/HAO_0002100>	"The margin of the posterior stipital sclerite that is concave and accommodates the base of the maxillary palp."	
<http://purl.obolibrary.org/obo/AISM_0004195>	"The cuticle of the appendage of the mid leg that is attached to the mesotarsus by the mesotarso-mesopretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0000498>	"The line that crosses the dorsal profurcal lamella and corresponds to the site of origin of the anterior profurcal lamella."	
<http://purl.obolibrary.org/obo/AISM_0000128>	"The region of cuticle that corresponds to the evagination of the single layer epithelium."@en	
<http://purl.obolibrary.org/obo/AISM_0004142>	"The region of the cuticle on the lateral region of the prothorax that is attached to the pronotum and the prosternum, and is attached to the procoxa by the procoxal muscle and the basal procoxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0001598>	"The impression that arises laterally from the antennal rim and extends along the inner margin of the compound eye."	
<http://purl.obolibrary.org/obo/HAO_0002234>	"The bent portion of the hypopharyngeal rod that receives the site of insertion of the posterior tentorio-premental muscle."	
<http://purl.obolibrary.org/obo/HAO_0001404>	"The articulation that is composed of the femoral articular process of the metatrochanter and the trochanteral fossa of the metafemur."	
<http://purl.obolibrary.org/obo/AISM_0004305>	"The cuticular sensilla that is dilated."@en	"http://purl.obolibrary.org/obo/HAO_0001098"
<http://purl.obolibrary.org/obo/HAO_0002268>	"The anatomical line that is the longest horizontal diameter of the cranium in frontal view."	
<http://purl.obolibrary.org/obo/HAO_0000629>	"The subalare that is located in the metathorax."	
<http://purl.obolibrary.org/obo/HAO_0000296>	"The sulcus that is dorsal to the coxal foramen."	
<http://purl.obolibrary.org/obo/HAO_0000875>	"The tibial spur that is located on the fore leg, is curved and together with the probasitarsus forms the strigil."	
<http://purl.obolibrary.org/obo/HAO_0000857>	"The sulcus that extends along the dorsal margin of the propleuron."	
<http://purl.obolibrary.org/obo/HAO_0000500>	"The epipharyngeal muscle that is unpaired and arises from the distal part of the pharyngeal wall and inserts along most of the length of the proximal epipharyngeal wall."	
<http://purl.obolibrary.org/obo/HAO_0000418>	"The region of a sclerite is composed of a carina that extends along the margin of a sclerites and the area external to the carina and that is adjacent to the surface of the inflection of another sclerite."	
<http://purl.obolibrary.org/obo/HAO_0001266>	"The femoro-tibial joint that is composed of the metafemur, the metatibia and the articular membrane of the metafemoro-metatibial joint."	
<http://purl.obolibrary.org/obo/AISM_0002042>	"The insect cranio-maxillar muscle that is attached to the first maxillar palpomere and  the second maxillar palpomere."@en	
<http://purl.obolibrary.org/obo/AISM_0000134>	"The branching cuticular invagination that corresponds to the invagination of the membrane of a single cell and does not contain taenidia."@en	
<http://purl.obolibrary.org/obo/AISM_0000090>	"The apodeme of elastic cuticle that is continuous with somatic muscle."@en	
<http://purl.obolibrary.org/obo/HAO_0002396>	"The line of the metanoto-propodeo-metapecto-mesopectal complex that connects the humeral sclerite to the third phragma."	
<http://purl.obolibrary.org/obo/AISM_0004101>	"The conjunctiva of the metathorax that joins the metapleura and the metasternum."@en	
<http://purl.obolibrary.org/obo/HAO_0000254>	"The notch that is located submedially on the dorsal margin of the pronotum and fits with the anterior extension of the preaxilla."	
<http://purl.obolibrary.org/obo/HAO_0000208>		
<http://purl.obolibrary.org/obo/HAO_0002099>	"The flange that extends along the margin of the posterior stipital wall."	
<http://purl.obolibrary.org/obo/HAO_0000608>	"The anterodorsal, narrow region of the metapleuron."	
<http://purl.obolibrary.org/obo/HAO_0000762>	"The sulcus that extends parallel with the posterior margin of the pronotum and corresponds to the ridge of the posterior pronotal inflection."	
<http://purl.obolibrary.org/obo/HAO_0000201>	"The anatomical space that is the anteriormost part of the alimentary canal and is delimited proximally by the proximomedian margin of the sitophore and distally by the functional mouth."	
<http://purl.obolibrary.org/obo/HAO_0001450>	"The intrinsic leg muscle that arises anteriorly from the protibia and inserts on the anterior proximal process of the probasitarsus."	
<http://purl.obolibrary.org/obo/HAO_0002548>	"The concave area on the acrotergite on abdominal tergite 7 that bears the orifice of type III exocrine glands."	
<http://purl.obolibrary.org/obo/HAO_0001109>	"The head muscle that inserts on the postocciput."	
<http://purl.obolibrary.org/obo/PATO_0000599>	"A width which is relatively small."	
<http://purl.obolibrary.org/obo/HAO_0001516>	"The fossa that is located posteromedially on the metatrochanter and accommodates the trochanteral condyle of the metafemur."	
<http://purl.obolibrary.org/obo/HAO_0001720>	"The thoracic muscle that inserts on the metaphragma."	
<http://purl.obolibrary.org/obo/HAO_0000207>		
<http://purl.obolibrary.org/obo/HAO_0002372>	"The contour line of the dorsal petiolar profile in lateral view."	
<http://purl.obolibrary.org/obo/HAO_0000417>	"The groove that does not correspond to a ridge."	
<http://purl.obolibrary.org/obo/HAO_0000287>	"The flagellomere that is located proximally on the flagellum and lacks longitudinal sensilla."	
<http://purl.obolibrary.org/obo/HAO_0002096>	"The sclerite that is on the medial stipital wall and bears the medial stipital process."	
<http://purl.obolibrary.org/obo/AISM_0004320>	"The cuticular seta that is adjacent to the cuticle of the empodium."@en	
<http://purl.obolibrary.org/obo/AISM_0000302>	"The protarsomere distal to the protibia and encircled by the protibio-protarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0001345>	"The row of setae that is composed of elongate setae and used to manipulate foreign substrates."	
<http://purl.obolibrary.org/obo/HAO_0002535>	"The area of propodeal-metapectal complex that is posterior to the first lateral area and medial to the lateral longitudinal carina."	
<http://purl.obolibrary.org/obo/HAO_0001433>	"The fossa that is located on the anterior coxal articular process of the mesotrochanter and accommodates the anterior trochanteral condyle of the mesocoxa."	
<http://purl.obolibrary.org/obo/HAO_0001790>	"The thoracic muscle that inserts on the mesonotum."	
<http://purl.obolibrary.org/obo/HAO_0001702>		
<http://purl.obolibrary.org/obo/HAO_0000664>	"The sulcus that extends along the margin of compound eye and corresponds to the circumocular ridge."	
<http://purl.obolibrary.org/obo/HAO_0000940>	"The area that is anteriorly on the mesonotum and delimited posteriorly by the skaphion carina."	
<http://purl.obolibrary.org/obo/HAO_0000018>	"The abdominal segment that is located posterior to abdominal segment 9."	
<http://purl.obolibrary.org/obo/HAO_0001395>	"The line that extends along the margins of two sclerites where they are connected to each other by conjunctiva."	
<http://purl.obolibrary.org/obo/HAO_0001389>	"The articular process that is located on the ventral margin of the mesopectus medially of the mesocoxal foramen and bears the medial coxal condyle of the mesopectus."	
<http://purl.obolibrary.org/obo/AISM_0002012>	"The apodeme at either side of the proximal margin of the labrum."@en	
<http://purl.obolibrary.org/obo/HAO_0002382>	"The sublateral setiferous patch that is on the frons between the intertorular carina and the facial pit, and is separated from the median setiferous patch by the supraclypeal depression."	
<http://purl.obolibrary.org/obo/AISM_0002063>	"The insect cranio-antennal muscle that is attached to the tentorial bridge and the tentorium."@en	
<http://purl.obolibrary.org/obo/HAO_0001396>	"The articulation that is composed of the lateral coxal condyle of the propleuron and the lateral pectal articular fossa of the procoxa."	
<http://purl.obolibrary.org/obo/AISM_0004212>	"The insect thoracic muscle that extends between the notum (or tergum) and the trochanter."@en	
<http://purl.obolibrary.org/obo/HAO_0002127>	"The sclerite that is located on the lateral wall of the galeo-lacinial complex distaly of the lateral galeal crease and bears the distolateral galeal setiferous patch."	
<http://purl.obolibrary.org/obo/HAO_0000894>	"The wing region anterior to the vannal fold containing the costa, subcosta, radius, medius, cubitus, and postcubitus."	
<http://purl.obolibrary.org/obo/HAO_0000993>	"The cuticular evagination that is located laterally of the preaxilla and obscures the anterior mesonoto-first axillary articulation and the mesopleuro-second axillary sclerite joints."	
<http://purl.obolibrary.org/obo/HAO_0000829>	"The cuticular protrusion that is located on the margin of a sclerite."	
